symbol_a,symbol_b,mcap_tercile,industry_same,prompt_variant,llm_tag,llm_conf,normalized_bucket,rationale_A,rationale_B,claim_type,basis_hint,counter_signal,verdict
OXY,PSX,상,상이,B,석유 가치 사슬,0.95,에너지·유전·수처리,,"{""claim"": ""OXY는 원유 및 천연가스 탐사와 생산을 담당하는 상류 부문 기업이며, PSX는 원유를 정제하여 석유 제품을 생산하고 유통하는 하류 부문 기업으로서, 이들은 석유 가치 사슬의 서로 다른 단계에서 핵심적인 역할을 하며 연결되어 있다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 기업의 사업 모델 (OXY: E&P, PSX: Refining & Marketing) 및 에너지 산업 구조에 대한 지식"", ""counter_signal"": ""두 기업이 직접적으로 동일한 제품 시장에서 경쟁하지는 않음""}",known_fact,"두 기업의 사업 모델 (OXY: E&P, PSX: Refining & Marketing) 및 에너지 산업 구조에 대한 지식",두 기업이 직접적으로 동일한 제품 시장에서 경쟁하지는 않음,
AMAT,ANET,상,상이,B,데이터센터 및 클라우드 인프라,0.8,반도체·메모리,,"{""claim"": ""AMAT는 데이터센터 및 클라우드 서비스의 핵심 부품인 반도체 생산 장비를 공급하고, ANET는 해당 인프라의 필수 요소인 고성능 네트워크 장비를 제공한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 사 사업 보고서 및 시장 동향 분석"", ""counter_signal"": ""양사는 직접적으로 경쟁하지 않으며, AMAT는 공급망의 상류에, ANET는 하류에 위치한다.""}",known_fact,각 사 사업 보고서 및 시장 동향 분석,"양사는 직접적으로 경쟁하지 않으며, AMAT는 공급망의 상류에, ANET는 하류에 위치한다.",
CARR,HON,상,상이,B,빌딩 기술 솔루션,0.9,부동산·REIT,,"{""claim"": ""두 회사 모두 건물용 HVAC, 화재 감지 및 보안 시스템 등 빌딩 기술 솔루션을 제공하며 경쟁 및 연결됩니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""Carrier Global은 HVAC, 냉동, 화재 및 보안 시스템 전문이며, Honeywell은 HBT(Honeywell Building Technologies) 사업부를 통해 빌딩 관리 시스템, 보안, 화재 및 HVAC 제어 솔루션을 제공합니다."", ""counter_signal"": ""Honeywell은 항공우주, 산업 자동화 등 Carrier와 무관한 다른 대규모 사업부를 보유하여 사업 범위가 훨씬 넓습니다.""}",known_fact,"Carrier Global은 HVAC, 냉동, 화재 및 보안 시스템 전문이며, Honeywell은 HBT(Honeywell Building Technologies) 사업부를 통해 빌딩 관리 시스템, 보안, 화재 및 HVAC 제어 솔루션을 제공합니다.","Honeywell은 항공우주, 산업 자동화 등 Carrier와 무관한 다른 대규모 사업부를 보유하여 사업 범위가 훨씬 넓습니다.",
ADBE,INTU,상,상이,B,기업 생산성 소프트웨어,0.9,클라우드·엔터프라이즈SW,,"{""claim"": ""Adobe는 창작 및 문서 관리 솔루션을, Intuit는 재무 및 회계 솔루션을 제공하며, 둘 다 다양한 규모의 기업 및 전문가의 핵심 업무 생산성 향상에 기여한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""Adobe Creative Cloud, Document Cloud; Intuit QuickBooks, TurboTax 등 각 사의 주력 제품군"", ""counter_signal"": ""각 사의 주력 소프트웨어 기능 및 시장은 직접적으로 겹치지 않는다.""}",known_fact,"Adobe Creative Cloud, Document Cloud; Intuit QuickBooks, TurboTax 등 각 사의 주력 제품군",각 사의 주력 소프트웨어 기능 및 시장은 직접적으로 겹치지 않는다.,
C,CME,상,상이,B,금융 파생상품 거래,0.9,금융·결제·거래소,,"{""claim"": ""Citigroup은 CME Group이 제공하는 파생상품 거래 플랫폼의 주요 이용자이며, 둘 다 금융 파생상품 시장에서 중요한 역할을 수행한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""Citigroup은 대규모 은행으로서 파생상품 트레이딩을 활발히 하며, CME Group은 선물 및 옵션과 같은 파생상품 거래를 위한 주요 글로벌 거래소이다."", ""counter_signal"": ""CME Group과 Citigroup은 직접적으로 동일한 고객에게 동일한 상품을 판매하며 경쟁하는 관계는 아니며, 하나는 시장 인프라 제공자이고 다른 하나는 시장 참여자이다.""}",known_fact,"Citigroup은 대규모 은행으로서 파생상품 트레이딩을 활발히 하며, CME Group은 선물 및 옵션과 같은 파생상품 거래를 위한 주요 글로벌 거래소이다.","CME Group과 Citigroup은 직접적으로 동일한 고객에게 동일한 상품을 판매하며 경쟁하는 관계는 아니며, 하나는 시장 인프라 제공자이고 다른 하나는 시장 참여자이다.",
META,ORCL,상,상이,B,AI 인프라,0.6,미디어·스트리밍·검색,,"{""claim"": ""Meta는 대규모 AI 모델 학습을 위한 자체 인프라를 구축하며, 오라클은 기업용 AI 인프라 솔루션을 OCI를 통해 제공한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""Meta의 AI 투자 및 자체 데이터센터 운영, Oracle의 OCI AI 서비스 및 GPU 클러스터 제공"", ""counter_signal"": ""Meta는 AI 인프라를 외부 고객에게 직접 판매하지 않으며, 오라클은 소셜 미디어 사업을 하지 않는다.""}",known_fact,"Meta의 AI 투자 및 자체 데이터센터 운영, Oracle의 OCI AI 서비스 및 GPU 클러스터 제공","Meta는 AI 인프라를 외부 고객에게 직접 판매하지 않으며, 오라클은 소셜 미디어 사업을 하지 않는다.",
BSX,PFE,상,상이,B,질병 치료 및 예방,0.9,헬스케어·의료기기·제약,,"{""claim"": ""보스턴 사이언티픽은 의료기기로 질병을 진단, 치료, 예방하며, 화이자는 의약품 및 백신으로 질병을 치료하고 예방한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 회사 모두 환자의 건강 증진 및 질병 관리를 목표로 하는 광범위한 의료 산업에 속한다."", ""counter_signal"": ""두 회사의 핵심 제품군이 의료기기와 의약품으로 명확히 구분되어 직접적인 제품 경쟁은 드물다.""}",known_fact,두 회사 모두 환자의 건강 증진 및 질병 관리를 목표로 하는 광범위한 의료 산업에 속한다.,두 회사의 핵심 제품군이 의료기기와 의약품으로 명확히 구분되어 직접적인 제품 경쟁은 드물다.,
ISRG,MCK,상,상이,B,의료 공급망,0.9,헬스케어·의료기기·제약,,"{""claim"": ""ISRG는 첨단 의료기기를 생산하고 MCK는 광범위한 의료 용품의 유통을 담당하여, 두 기업 모두 의료 공급망의 핵심적인 부분을 구성한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""ISRG는 로봇 수술 시스템 제조사이며, MCK는 북미 최대의 의약품 및 의료 물품 유통업체이다."", ""counter_signal"": ""ISRG의 고가 로봇 수술 장비는 MCK의 일반적인 유통 경로보다는 자체적인 전문 판매 및 서비스 채널을 통해 공급될 가능성이 높아 직접적인 제품 유통 파트너십은 제한적일 수 있다.""}",known_fact,"ISRG는 로봇 수술 시스템 제조사이며, MCK는 북미 최대의 의약품 및 의료 물품 유통업체이다.",ISRG의 고가 로봇 수술 장비는 MCK의 일반적인 유통 경로보다는 자체적인 전문 판매 및 서비스 채널을 통해 공급될 가능성이 높아 직접적인 제품 유통 파트너십은 제한적일 수 있다.,
GLW,NVDA,상,상이,B,디지털 시각화 및 데이터 인프라,0.9,반도체·메모리,,"{""claim"": ""NVIDIA는 고성능 컴퓨팅 및 그래픽 처리 반도체로 데이터센터와 디스플레이 분야를 선도하며, Corning은 데이터센터 광통신 인프라와 디스플레이 소재를 제공하여 양사는 디지털 시각화 및 데이터 인프라 구축에 필수적인 역할로 상호 연결된다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""NVIDIA의 데이터센터 AI/GPU 및 디스플레이 구동 사업, Corning의 광섬유 및 디스플레이 유리 사업."", ""counter_signal"": ""Corning의 일부 사업 분야(예: 생명 과학, 자동차 공해 방지)는 NVIDIA와 직접적인 연관성이 낮다.""}",known_fact,"NVIDIA의 데이터센터 AI/GPU 및 디스플레이 구동 사업, Corning의 광섬유 및 디스플레이 유리 사업.","Corning의 일부 사업 분야(예: 생명 과학, 자동차 공해 방지)는 NVIDIA와 직접적인 연관성이 낮다.",
EBAY,GM,상,상이,B,자동차 온라인 유통,0.85,소매·소비재,,"{""claim"": ""eBay는 자동차 부품 및 중고차 거래를 위한 주요 온라인 마켓플레이스이며, GM은 자동차 및 관련 부품을 생산하므로 eBay는 GM이 생산한 제품의 온라인 유통 또는 재판매 채널로 기능할 수 있다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""eBay의 자동차 카테고리 활성화 및 GM의 자동차/부품 제조 사업."", ""counter_signal"": ""GM은 주로 딜러십을 통해 신차를 판매하며, eBay에서 직접 신차를 판매하는 경우는 드물다.""}",known_fact,eBay의 자동차 카테고리 활성화 및 GM의 자동차/부품 제조 사업.,"GM은 주로 딜러십을 통해 신차를 판매하며, eBay에서 직접 신차를 판매하는 경우는 드물다.",
NOC,ODFL,상,상이,B,기업 물류 운송 서비스,0.4,자동차·부품·산업재,,"{""claim"": ""NOC은 대규모 방위산업 제조사로서 제품 및 부품 운송을 위해 ODFL과 같은 물류 및 운송 서비스를 이용할 수 있다."", ""claim_type"": ""inference"", ""basis_hint"": ""대규모 제조 기업의 일반적인 물류 필요성 및 운송업체의 서비스 범위"", ""counter_signal"": ""NOC의 핵심 사업은 첨단 방위 시스템 제조이며, ODFL은 독립적인 화물 운송 서비스 제공자이므로 직접적인 경쟁 관계나 핵심 사업 도메인에서의 긴밀한 연결은 없다.""}",inference,대규모 제조 기업의 일반적인 물류 필요성 및 운송업체의 서비스 범위,"NOC의 핵심 사업은 첨단 방위 시스템 제조이며, ODFL은 독립적인 화물 운송 서비스 제공자이므로 직접적인 경쟁 관계나 핵심 사업 도메인에서의 긴밀한 연결은 없다.",
GOOG,MSI,상,상이,B,공공·기업 기술 솔루션,0.3,클라우드·엔터프라이즈SW,,"{""claim"": ""MSI는 공공 안전 및 기업용 미션 크리티컬 통신 및 보안 솔루션을 제공하며, Google은 클라우드, AI, 안드로이드 엔터프라이즈 등을 통해 공공 부문 및 기업 고객에게 다양한 기술 솔루션을 지원합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""Motorola Solutions의 공공 안전 및 기업 통신 장비/소프트웨어, Google Cloud의 정부/기업 클라우드 서비스 및 Android Enterprise"", ""counter_signal"": ""두 회사의 핵심 사업 영역(통신 장비 대 인터넷 콘텐츠 및 광고)과 제품군은 매우 달라 직접적인 경쟁이 거의 없습니다.""}",known_fact,"Motorola Solutions의 공공 안전 및 기업 통신 장비/소프트웨어, Google Cloud의 정부/기업 클라우드 서비스 및 Android Enterprise",두 회사의 핵심 사업 영역(통신 장비 대 인터넷 콘텐츠 및 광고)과 제품군은 매우 달라 직접적인 경쟁이 거의 없습니다.,
DASH,YUM,상,상이,B,음식 배달,0.95,클라우드·엔터프라이즈SW,,"{""claim"": ""DoorDash는 YUM! Brands의 레스토랑 체인들이 고객에게 음식을 배달하는 데 사용하는 주요 플랫폼 중 하나이다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""DoorDash는 선도적인 음식 배달 플랫폼이며, YUM! Brands는 KFC, Pizza Hut, Taco Bell 등 배달 서비스가 핵심 사업 모델의 큰 부분을 차지하는 대형 레스토랑 체인을 소유하고 있다."", ""counter_signal"": """"}",known_fact,"DoorDash는 선도적인 음식 배달 플랫폼이며, YUM! Brands는 KFC, Pizza Hut, Taco Bell 등 배달 서비스가 핵심 사업 모델의 큰 부분을 차지하는 대형 레스토랑 체인을 소유하고 있다.",,
BLK,MET,상,상이,B,자산 관리,0.9,금융·결제·거래소,,"{""claim"": ""BlackRock은 자산 운용을 전문으로 하며, MetLife는 막대한 보험 준비금을 관리하고 투자합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""BlackRock의 주요 사업 모델 및 MetLife의 보험 준비금 운용 방식."", ""counter_signal"": ""MetLife의 핵심 사업은 보험 인수이며 BlackRock은 보험 사업을 하지 않음.""}",known_fact,BlackRock의 주요 사업 모델 및 MetLife의 보험 준비금 운용 방식.,MetLife의 핵심 사업은 보험 인수이며 BlackRock은 보험 사업을 하지 않음.,
AAPL,MCHP,상,상이,B,반도체 부품 공급망,0.9,반도체·메모리,,"{""claim"": ""Apple은 아이폰 등 전자제품 제조사로서 다양한 반도체 부품을 필요로 하며, Microchip Technology는 이러한 반도체 및 임베디드 제어 솔루션을 공급하는 회사이다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""AAPL은 MCHP의 잠재적 고객이거나 MCHP 제품이 사용되는 최종 전자제품의 생산자이다."", ""counter_signal"": ""Apple이 핵심 프로세서의 자체 칩 설계를 강화하고 있지만, 기타 다양한 보조 및 주변 반도체 부품은 여전히 외부 공급에 의존한다.""}",known_fact,AAPL은 MCHP의 잠재적 고객이거나 MCHP 제품이 사용되는 최종 전자제품의 생산자이다.,"Apple이 핵심 프로세서의 자체 칩 설계를 강화하고 있지만, 기타 다양한 보조 및 주변 반도체 부품은 여전히 외부 공급에 의존한다.",
GLW,GOOGL,상,상이,B,모바일/디스플레이 부품,0.9,반도체·메모리,,"{""claim"": ""Corning은 스마트폰, 태블릿 등 모바일 기기의 핵심 부품인 디스플레이 커버 글라스(Gorilla Glass) 및 패널 글라스를 생산하며, Alphabet은 Pixel 폰, Nest 기기 등 하드웨어 제품을 개발 및 판매한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""Corning의 Gorilla Glass 사업과 Alphabet의 Pixel/Nest 하드웨어 사업"", ""counter_signal"": ""Alphabet이 직접 디스플레이 글라스 부품을 제조하지 않으며, Corning의 광통신 등 다른 사업은 Alphabet과 직접적인 연관성이 낮음""}",known_fact,Corning의 Gorilla Glass 사업과 Alphabet의 Pixel/Nest 하드웨어 사업,"Alphabet이 직접 디스플레이 글라스 부품을 제조하지 않으며, Corning의 광통신 등 다른 사업은 Alphabet과 직접적인 연관성이 낮음",
SO,SRE,상,상이,B,유틸리티 서비스,0.9,유틸리티,,"{""claim"": ""The Southern Company와 Sempra 모두 전력 및 천연가스 공급 등 규제 유틸리티 사업을 영위하며 핵심 수익을 창출한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 사업 설명(Regulated Electric, Diversified Utilities) 및 주요 서비스 포트폴리오."", ""counter_signal"": ""Sempra는 Southern Company에 비해 LNG 인프라 등 에너지 인프라 사업 비중이 더 커서 사업 다각화 수준이 다르다.""}",known_fact,"각 기업의 사업 설명(Regulated Electric, Diversified Utilities) 및 주요 서비스 포트폴리오.",Sempra는 Southern Company에 비해 LNG 인프라 등 에너지 인프라 사업 비중이 더 커서 사업 다각화 수준이 다르다.,
NXPI,Q,중,동일,A,차량용 및 IoT 반도체,0.9,반도체·메모리,"{""claim"": ""NXP와 Qualcomm은 차량용 인포테인먼트, ADAS, 디지털 콕핏 및 사물인터넷(IoT) 기기를 위한 반도체 및 플랫폼 솔루션 시장에서 직접 경쟁한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 회사 웹사이트의 제품 포트폴리오 및 사업 부문 설명, 산업 분석 보고서"", ""counter_signal"": ""NXP는 전통적으로 임베디드 및 산업용 비중이 크고, Qualcomm은 모바일 AP 및 모뎀 분야에서 독보적 지위를 가지고 있어 전체 사업 포트폴리오 비중에서는 차이가 있다.""}",,known_fact,"각 회사 웹사이트의 제품 포트폴리오 및 사업 부문 설명, 산업 분석 보고서","NXP는 전통적으로 임베디드 및 산업용 비중이 크고, Qualcomm은 모바일 AP 및 모뎀 분야에서 독보적 지위를 가지고 있어 전체 사업 포트폴리오 비중에서는 차이가 있다.",
AEE,DTE,중,동일,A,전력 및 천연가스 유틸리티,0.98,유틸리티,"{""claim"": ""AEE와 DTE는 모두 규제받는 지역에서 전력 생산, 송전, 배전 및 천연가스 공급 사업을 영위하는 주요 유틸리티 기업입니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""기업 공식 웹사이트, SEC filing, 산업 보고서"", ""counter_signal"": """"}",,known_fact,"기업 공식 웹사이트, SEC filing, 산업 보고서",,
CCI,IRM,중,동일,A,정보 통신 인프라,0.9,부동산·REIT,"{""claim"": ""CCI는 무선 통신 인프라(셀 타워, 광섬유)를 제공하고, IRM은 물리적 및 디지털 정보 관리 서비스(데이터 센터 포함)를 제공하며, 이들은 모두 정보 저장, 처리 및 전송을 위한 핵심 인프라 영역에서 연결됩니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 사업 보고서 및 투자자 자료(예: REIT 산업 분류) 참조"", ""counter_signal"": ""IRM은 데이터 센터 외에 대규모 물리적 기록 보관 사업을 영위하고 있어 CCI와 직접적인 경쟁은 적지만, 디지털 인프라 부문에서는 연결 고리가 강합니다.""}",,known_fact,각 기업의 사업 보고서 및 투자자 자료(예: REIT 산업 분류) 참조,"IRM은 데이터 센터 외에 대규모 물리적 기록 보관 사업을 영위하고 있어 CCI와 직접적인 경쟁은 적지만, 디지털 인프라 부문에서는 연결 고리가 강합니다.",
AVB,ESS,중,동일,A,아파트 임대 및 개발,1.0,부동산·REIT,"{""claim"": ""두 회사 모두 대규모 아파트 포트폴리오를 소유, 개발, 재개발 및 관리하는 주거용 부동산 투자 신탁(REIT)으로 동일한 사업 도메인에서 경쟁합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""AVB (AvalonBay Communities) 및 ESS (Essex Property Trust)의 공식 웹사이트, SEC Filing (10-K), 그리고 GICS/NAICS 산업 분류 정보를 통해 확인 가능합니다."", ""counter_signal"": """"}",,known_fact,"AVB (AvalonBay Communities) 및 ESS (Essex Property Trust)의 공식 웹사이트, SEC Filing (10-K), 그리고 GICS/NAICS 산업 분류 정보를 통해 확인 가능합니다.",,
CTSH,FI,중,동일,A,금융 기술 서비스,0.9,클라우드·엔터프라이즈SW,"{""claim"": ""Cognizant는 금융 서비스 부문에 IT 컨설팅 및 솔루션을 제공하며, Fiserv는 금융 기관을 위한 핵심 기술 및 결제 솔루션을 전문으로 하여, 두 회사 모두 금융 기술 서비스 시장에서 운영됩니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 회사 웹사이트, 연례 보고서(10-K), 산업 분석 보고서"", ""counter_signal"": ""Cognizant는 다양한 산업에 서비스를 제공하는 반면, Fiserv는 금융 산업에만 집중하며 주로 자체 솔루션 및 플랫폼을 제공한다는 점에서 비즈니스 모델에 차이가 있습니다.""}",,known_fact,"각 회사 웹사이트, 연례 보고서(10-K), 산업 분석 보고서","Cognizant는 다양한 산업에 서비스를 제공하는 반면, Fiserv는 금융 산업에만 집중하며 주로 자체 솔루션 및 플랫폼을 제공한다는 점에서 비즈니스 모델에 차이가 있습니다.",
DVN,EXE,중,동일,A,무관한 사업 영역,1.0,에너지·유전·수처리,"{""claim"": ""DVN은 석유 및 가스 탐사 및 생산 기업이며, EXE는 2015년 인수된 소매 부동산 투자 신탁(REIT)이었던 회사로, 사업 도메인에서 경쟁 또는 연결 관계가 없습니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""DVN 및 EXE의 기업 프로필 및 산업 분류 정보"", ""counter_signal"": """"}",,known_fact,DVN 및 EXE의 기업 프로필 및 산업 분류 정보,,
CMS,XEL,중,동일,A,에너지 유틸리티,1.0,유틸리티,"{""claim"": ""CMS와 XEL은 모두 미국 내에서 전력 및 천연가스를 공급하는 주요 규제 공공 유틸리티 기업입니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 사의 공식 웹사이트, 연간 보고서(10-K), 산업 분류(GICS 섹터: 유틸리티)"", ""counter_signal"": """"}",,known_fact,"각 사의 공식 웹사이트, 연간 보고서(10-K), 산업 분류(GICS 섹터: 유틸리티)",,
COP,TPL,중,동일,A,석유가스 생산 및 광물권,0.95,에너지·유전·수처리,"{""claim"": ""ConocoPhillips는 전 세계적으로 석유 및 천연가스를 탐사하고 생산하는 주요 기업이며, Texas Pacific Land는 서부 텍사스 지역의 광범위한 광물권을 통해 석유가스 생산 로열티 및 기타 관련 수익을 얻으므로, 둘 다 석유가스 상류 사업 도메인에서 밀접하게 연결됩니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 주요 사업 모델 및 수익원 (ConocoPhillips: E&P, TPL: 광물권 로열티)"", ""counter_signal"": """"}",,known_fact,"각 기업의 주요 사업 모델 및 수익원 (ConocoPhillips: E&P, TPL: 광물권 로열티)",,
CASY,ULTA,중,동일,A,이질적 소매업,1.0,소매·소비재,"{""claim"": ""Casey's General Stores는 편의점 및 주유소 사업을, Ulta Beauty는 뷰티 제품 소매 및 살롱 서비스를 제공하므로 사업 도메인이 직접적으로 경쟁하거나 연결되지 않는 완전히 상이합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 사의 공개된 사업 모델 및 주력 제품/서비스 분류"", ""counter_signal"": """"}",,known_fact,각 사의 공개된 사업 모델 및 주력 제품/서비스 분류,,
EL,KVUE,중,동일,A,뷰티 및 퍼스널 케어,0.7,소매·소비재,"{""claim"": ""EL은 럭셔리 뷰티 제품을, KVUE는 컨슈머 헬스 및 퍼스널 케어 제품을 제공하며, 이들은 광범위한 개인 관리 소비재 시장에서 연결된다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 사업 영역 및 주요 브랜드 포트폴리오 확인 (EL: Estée Lauder, Clinique; KVUE: Tylenol, Neutrogena)."", ""counter_signal"": ""각 기업의 주요 타겟 시장(EL은 럭셔리, KVUE는 대중)과 핵심 사업 영역(EL은 미용, KVUE는 헬스)이 명확하여 직접적인 경쟁은 제한적이다.""}",,known_fact,"각 기업의 사업 영역 및 주요 브랜드 포트폴리오 확인 (EL: Estée Lauder, Clinique; KVUE: Tylenol, Neutrogena).","각 기업의 주요 타겟 시장(EL은 럭셔리, KVUE는 대중)과 핵심 사업 영역(EL은 미용, KVUE는 헬스)이 명확하여 직접적인 경쟁은 제한적이다.",
CFG,TFC,중,동일,A,종합 은행 서비스,0.95,금융·결제·거래소,"{""claim"": ""CFG와 TFC는 모두 미국 내에서 리테일 및 상업 고객에게 예금, 대출, 투자 등 다양한 금융 상품과 서비스를 제공하는 종합 은행이다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 사의 공식 웹사이트, 투자자 관계 자료 및 금융 산업 보고서."", ""counter_signal"": """"}",,known_fact,"각 사의 공식 웹사이트, 투자자 관계 자료 및 금융 산업 보고서.",,
BALL,PKG,중,동일,A,포장재 제조,0.9,부동산·REIT,"{""claim"": ""두 회사 모두 다양한 산업 분야에 사용되는 포장재를 설계 및 제조하는 사업을 영위합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""BALL은 알루미늄 캔을, PKG는 골판지 상자를 주로 생산하며, 둘 다 광범위한 포장 솔루션을 제공합니다."", ""counter_signal"": """"}",,known_fact,"BALL은 알루미늄 캔을, PKG는 골판지 상자를 주로 생산하며, 둘 다 광범위한 포장 솔루션을 제공합니다.",,
FTV,GRMN,중,동일,A,센싱 및 측정 기술,0.65,반도체·메모리,"{""claim"": ""FTV는 산업 정밀 측정 및 센싱 솔루션을 제공하며, GRMN은 GPS 기반 내비게이션 및 웨어러블 기기에 다양한 센싱 기술을 활용하므로, 센싱 및 측정 기술 도메인에서 기술적 공통점을 찾을 수 있다."", ""claim_type"": ""inference"", ""basis_hint"": ""회사 사업 설명 및 주요 제품군 분석 (Company business descriptions and analysis of main product lines)"", ""counter_signal"": ""두 회사의 주력 시장(FTV는 B2B 산업, GRMN은 B2C 소비재 및 특정 전문 시장)과 최종 제품군이 크게 달라 직접적인 경쟁은 제한적임.""}",,inference,회사 사업 설명 및 주요 제품군 분석 (Company business descriptions and analysis of main product lines),"두 회사의 주력 시장(FTV는 B2B 산업, GRMN은 B2C 소비재 및 특정 전문 시장)과 최종 제품군이 크게 달라 직접적인 경쟁은 제한적임.",
SYK,ZBH,중,동일,A,정형외과 의료기기,0.95,헬스케어·의료기기·제약,"{""claim"": ""Stryker (SYK)와 Zimmer Biomet (ZBH)는 모두 정형외과용 임플란트(특히 관절 치환술) 및 수술 기기를 주력으로 하는 글로벌 의료기기 기업으로 핵심 사업 분야에서 직접적인 경쟁 관계에 있습니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 공식 웹사이트, 연례 보고서(10-K), 그리고 의료기기 산업 분석 보고서에서 정형외과 분야의 주요 경쟁사로 상호 언급됨."", ""counter_signal"": """"}",,known_fact,"각 기업의 공식 웹사이트, 연례 보고서(10-K), 그리고 의료기기 산업 분석 보고서에서 정형외과 분야의 주요 경쟁사로 상호 언급됨.",,
JBL,TDY,중,동일,A,고기술 전자 및 시스템,0.8,반도체·메모리,"{""claim"": ""JBL은 다양한 산업 분야의 전자 제품 위탁 생산 및 엔지니어링 서비스 제공을 통해 고기술 전자 시스템 구현을 지원하며, TDY는 디지털 이미징, 계측, 항공우주 및 방위 전자 시스템 등 자체적인 고기술 전자 및 시스템을 개발하고 공급합니다."", ""claim_type"": ""inference"", ""basis_hint"": ""각 기업의 사업 영역 및 제공하는 제품/서비스 정보"", ""counter_signal"": ""JBL은 주로 제조 서비스업이고 TDY는 자체 제품/시스템 개발 및 공급업체이므로, 사업 모델에서의 직접적인 경쟁은 제한적입니다.""}",,inference,각 기업의 사업 영역 및 제공하는 제품/서비스 정보,"JBL은 주로 제조 서비스업이고 TDY는 자체 제품/시스템 개발 및 공급업체이므로, 사업 모델에서의 직접적인 경쟁은 제한적입니다.",
EXC,LNT,중,동일,A,전력 유틸리티,0.95,유틸리티,"{""claim"": ""두 회사 모두 미국 내 규제 전력 시장에서 발전, 송전, 배전 및 고객 서비스 등을 제공하는 주요 유틸리티 기업입니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""회사 공식 웹사이트 및 사업 보고서, 산업 분류 (GICS)"", ""counter_signal"": """"}",,known_fact,"회사 공식 웹사이트 및 사업 보고서, 산업 분류 (GICS)",,
BDX,RMD,중,동일,A,의료기기,0.9,헬스케어·의료기기·제약,"{""claim"": ""BDX는 광범위한 의료기기 및 진단 솔루션을 제공하며, RMD는 호흡기 질환 관리 의료기기 전문 기업이다. 두 회사 모두 의료기기 산업의 주요 플레이어이다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 공식 사업 설명 및 제품 포트폴리오"", ""counter_signal"": ""BDX와 RMD는 주력하는 의료기기 분야가 달라 직접적인 제품 경쟁은 제한적이다.""}",,known_fact,각 기업의 공식 사업 설명 및 제품 포트폴리오,BDX와 RMD는 주력하는 의료기기 분야가 달라 직접적인 제품 경쟁은 제한적이다.,
RF,TFC,중,동일,A,지역 상업은행업,0.98,금융·결제·거래소,"{""claim"": ""RF(Regions Financial Corporation)와 TFC(Truist Financial Corporation)는 모두 미국 남동부를 중심으로 광범위한 리테일 및 상업 뱅킹 서비스를 제공하는 대형 지역 상업은행으로 직접적인 경쟁 관계에 있다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""기업 개요, 금융 산업 보고서, 증권사 리서치"", ""counter_signal"": """"}",,known_fact,"기업 개요, 금융 산업 보고서, 증권사 리서치",,
DVN,FANG,중,동일,A,석유가스 탐사생산,0.95,에너지·유전·수처리,"{""claim"": ""DVN(Devon Energy)과 FANG(Diamondback Energy)은 모두 미국 내 주요 셰일 유전에 집중하는 독립적인 석유 및 천연가스 탐사 및 생산(E&P) 기업이다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 회사의 사업 개요, SEC filing (10-K), 투자자 관계 자료"", ""counter_signal"": """"}",,known_fact,"각 회사의 사업 개요, SEC filing (10-K), 투자자 관계 자료",,
AEP,CMS,중,동일,A,에너지 유틸리티,0.9,유틸리티,"{""claim"": ""두 회사 모두 미국 내에서 전력 및 천연가스 공급을 주요 사업으로 하는 대형 유틸리티 기업입니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""회사 사업 보고서, 산업 분류 (Utilities Sector)"", ""counter_signal"": """"}",,known_fact,"회사 사업 보고서, 산업 분류 (Utilities Sector)",,
